English	Proposed Korean	Usage note
CM Strength	CM Strength	Preserve brand
The First Flame	The First Flame	Preserve product name; descriptor: 초보자 근력 운동 프로그램
Lotus	Lotus	Confirm Lotus versus Lotus V2 edition before release
Dynasty	Dynasty	Preserve product name; descriptor: 12주 근비대 프로그램
Total War	Total War	Preserve product name; descriptor depends on confirmed powerbuilding/powerlifting positioning
Hell Joseon	Hell Joseon	Preserve product name; 헬조선 may be a secondary label if brand owner chooses
program	프로그램	Use consistently
training split	분할 운동 구성	Schedule context
week	주차	Numbered program weeks; duration uses 주
rest day	휴식일	Do not omit intentional rest pages
rest break	세트 간 휴식	Check whether rest is between sets or exercises
warm-up set	워밍업 세트	Keep separate from working sets
feeder set	준비 세트	First use 준비 세트(feeder set); source-specific preparation set
working set	본 세트	Do not count warm-up sets unless source does
set	세트	Preserve count
rep	반복 횟수	Prescriptions use 회
reps in reserve	남길 수 있는 반복 횟수(RIR)	Retain abbreviation on first use
RPE	운동자각도(RPE)	Preserve each program's own scale including values above 10
1RM	1회 최대 중량(1RM)	Preserve percentages and source basis
progressive overload	점진적 과부하	Do not imply load increases when source increases reps/volume
deload	디로드	First use 훈련 부담을 줄이는 디로드 기간
hypertrophy	근비대	Consistent descriptor
powerbuilding	파워빌딩	First use 근력과 근비대를 함께 목표로 하는 훈련
powerlifting	파워리프팅	Distinct from powerbuilding
range of motion	가동 범위	Preserve full/partial distinction
full repetition	전체 가동 범위 반복	Do not collapse to partial rep
partial repetition	부분 반복	Preserve portion of range
lockout	락아웃	First use 관절을 펴 동작을 마무리하는 지점; specific joint per exercise
eccentric	이완성 수축 구간	Often lowering phase; confirm movement context
concentric	단축성 수축 구간	Often lifting phase; confirm movement context
isometric hold	등척성 유지	Preserve hold duration and joint position
rest-pause	레스트 포즈	First use 짧은 휴식을 끼워 넣는 반복 방식
drop set	드롭 세트	Preserve all weight drops and rep counts
superset	슈퍼세트	Preserve paired exercise order and rest
giant set	자이언트 세트	Preserve sequence
failure	반복 수행 실패 지점	Distinguish technique failure and prescribed intensity
perfect form	정확한 자세	Do not substitute loose form
per side	각 측면당	Use 각 다리/각 팔 where source specifies
alternating	번갈아 수행	Distinguish alternating reps from completing one side first
squat	스쿼트	Retain variation qualifiers
bench press	벤치프레스	Retain angle/grip qualifiers
deadlift	데드리프트	Retain variation qualifiers
Romanian deadlift	루마니안 데드리프트	Do not merge with stiff-legged deadlift
hip thrust	힙 스러스트	Use consistently
leg curl	레그 컬	Retain seated/lying/standing qualifiers
leg extension	레그 익스텐션	Use consistently
lateral raise	레터럴 레이즈	Retain side/rear distinction
calves	종아리	Muscle-group label
hamstrings	햄스트링	Muscle-group label
quads	대퇴사두근	Muscle-group label
glutes	둔근	Muscle-group label
lb	lb(파운드)	Retain source values; conversions require documented reviewed exceptions
oz	oz	Determine fluid volume versus mass in context; no automatic conversion
scoop	스쿱	Do not infer grams per scoop
cup	컵	Do not assume a Korean household cup volume
tablespoon	큰술(tbsp)	Retain source measure and abbreviation
